cumPktCount,burstNum,burstSize,pktsBurst,pktsFlow,maxBytesFlow,fractionFlowBytes
484,147,64,1,1,64,1.0
488,148,1945,4,1,1363,0.700771208226
491,149,184,3,2,128,0.695652173913
492,150,1363,1,1,1363,1.0
496,151,3068,4,1,1504,0.490221642764
503,152,4694,7,1,1504,0.320409032808
504,153,1504,1,1,1504,1.0
509,154,3010,5,1,1444,0.479734219269
515,155,3426,6,1,1504,0.438995913602
516,156,1444,1,1,1444,1.0
522,157,3331,6,1,1504,0.451516061243
525,158,3122,3,1,1444,0.462524023062
530,159,2020,5,1,1504,0.744554455446
537,160,8395,7,2,3008,0.358308516974
545,161,5306,8,2,1964,0.370147003392
546,162,46,1,1,46,1.0
549,163,2103,3,2,2053,0.976224441274
550,164,60,1,1,60,1.0
551,165,1477,1,1,1477,1.0
552,166,64,1,1,64,1.0
553,167,68,1,1,68,1.0
554,168,1504,1,1,1504,1.0
555,169,50,1,1,50,1.0
556,170,64,1,1,64,1.0
557,171,46,1,1,46,1.0
558,172,1504,1,1,1504,1.0
560,173,1550,2,1,1504,0.970322580645
561,174,1504,1,1,1504,1.0
565,175,2977,4,1,1504,0.505206583809
566,176,1504,1,1,1504,1.0
567,177,1504,1,1,1504,1.0
568,178,1504,1,1,1504,1.0
576,179,7898,8,2,3008,0.380855912889
578,180,1560,2,1,1504,0.964102564103
579,181,340,1,1,340,1.0
580,182,56,1,1,56,1.0
581,183,56,1,1,56,1.0
585,184,1672,4,1,1504,0.8995215311
587,185,2293,2,1,1284,0.559965111208
588,186,76,1,1,76,1.0
592,187,1680,4,1,1504,0.895238095238
593,188,1504,1,1,1504,1.0
594,189,56,1,1,56,1.0
596,190,102,2,2,102,1.0
598,191,330,2,1,274,0.830303030303
599,192,1504,1,1,1504,1.0
600,193,56,1,1,56,1.0
602,194,543,2,1,497,0.915285451197
603,195,46,1,1,46,1.0
610,196,3598,7,2,2014,0.559755419678
615,197,3294,5,1,1504,0.456587735276
617,198,1587,2,1,1504,0.947700063012
618,199,1504,1,1,1504,1.0
620,200,1554,2,1,1504,0.967824967825
627,201,4556,7,1,1504,0.330114135206
628,202,46,1,1,46,1.0
635,203,5782,7,2,2549,0.440850916638
636,204,1261,1,1,1261,1.0
637,205,1504,1,1,1504,1.0
643,206,3273,6,1,1504,0.45951726245
644,207,56,1,1,56,1.0
649,208,2238,5,1,1504,0.672028596962
650,209,46,1,1,46,1.0
651,210,56,1,1,56,1.0
652,211,1504,1,1,1504,1.0
656,212,1672,4,1,1504,0.8995215311
657,213,1504,1,1,1504,1.0
658,214,56,1,1,56,1.0
662,215,3110,4,1,1504,0.483601286174
663,216,1504,1,1,1504,1.0
664,217,1504,1,1,1504,1.0
665,218,56,1,1,56,1.0
668,219,3064,3,1,1504,0.490861618799
673,220,5323,5,1,1504,0.282547435657
677,221,1688,4,1,1504,0.890995260664
678,222,1504,1,1,1504,1.0
683,223,3514,5,1,1504,0.428002276608
684,224,1504,1,1,1504,1.0
686,225,102,2,1,56,0.549019607843
689,226,4512,3,1,1504,0.333333333333
692,227,1606,3,1,1504,0.936488169365
693,228,1504,1,1,1504,1.0
695,229,606,2,1,556,0.917491749175
713,230,10903,18,2,3008,0.275887370449
718,231,4351,5,1,1504,0.345667662606
719,232,1504,1,1,1504,1.0
721,233,1224,2,1,1168,0.954248366013
722,234,1504,1,1,1504,1.0
726,235,1662,4,1,1504,0.904933814681
734,236,3436,8,1,1504,0.437718277066
735,237,1504,1,1,1504,1.0
736,238,1504,1,1,1504,1.0
737,239,1424,1,1,1424,1.0
741,240,2491,4,1,1504,0.603773584906
763,241,22835,22,4,6016,0.263455222247
773,242,10686,10,2,3008,0.281489799738
781,243,7429,8,2,2749,0.370036344057
782,244,1504,1,1,1504,1.0
783,245,1504,1,1,1504,1.0
791,246,3425,8,1,1504,0.439124087591
793,247,260,2,1,204,0.784615384615
794,248,1352,1,1,1352,1.0
815,249,19113,21,5,7520,0.393449484644
817,250,112,2,1,56,0.5
818,251,1504,1,1,1504,1.0
824,252,6290,6,1,1504,0.239109697933
827,253,3012,3,1,1504,0.499335989376
836,254,6296,9,1,1504,0.238881829733
837,255,1504,1,1,1504,1.0
839,256,116,2,1,66,0.568965517241
843,257,4568,4,2,3008,0.658493870403
849,258,6860,6,2,3008,0.438483965015
859,259,10234,10,2,2552,0.249364862224
861,260,2552,2,1,1504,0.58934169279
862,261,56,1,1,56,1.0
866,262,3140,4,1,1504,0.47898089172
867,263,1504,1,1,1504,1.0
875,264,2835,8,1,1504,0.530511463845
876,265,987,1,1,987,1.0
883,266,6660,7,3,4512,0.677477477477
884,267,1504,1,1,1504,1.0
885,268,1504,1,1,1504,1.0
886,269,56,1,1,56,1.0
888,270,669,2,1,613,0.916292974589
892,271,4873,4,1,1504,0.308639441822
894,272,579,2,1,523,0.903281519862
896,273,289,2,1,225,0.778546712803
898,274,1787,2,1,1504,0.841634023503
899,275,1504,1,1,1504,1.0
900,276,578,1,1,578,1.0
901,277,56,1,1,56,1.0
905,278,4257,4,1,1504,0.353300446324
906,279,1504,1,1,1504,1.0
907,280,744,1,1,744,1.0
908,281,1504,1,1,1504,1.0
911,282,1606,3,1,1504,0.936488169365
914,283,1648,3,2,1592,0.966019417476
915,284,1504,1,1,1504,1.0
918,285,1600,3,1,1504,0.94
919,286,1504,1,1,1504,1.0
920,287,1504,1,1,1504,1.0
921,288,68,1,1,68,1.0
925,289,1668,4,1,1504,0.901678657074
926,290,50,1,1,50,1.0
931,291,2215,5,1,1504,0.679006772009
934,292,3064,3,1,1504,0.490861618799
937,293,1616,3,1,1504,0.930693069307
938,294,1504,1,1,1504,1.0
940,295,1560,2,1,1504,0.964102564103
941,296,56,1,1,56,1.0
948,297,2848,7,1,1504,0.52808988764
950,298,1560,2,1,1504,0.964102564103
951,299,1504,1,1,1504,1.0
952,300,1504,1,1,1504,1.0
953,301,1504,1,1,1504,1.0
955,302,1560,2,1,1504,0.964102564103
958,303,3058,3,1,1504,0.491824722041
964,304,4738,6,1,1504,0.317433516252
965,305,1504,1,1,1504,1.0
968,306,2300,3,1,1504,0.653913043478
969,307,1504,1,1,1504,1.0
971,308,1560,2,1,1504,0.964102564103
975,309,4568,4,1,1504,0.329246935201
976,310,1504,1,1,1504,1.0
980,311,4568,4,1,1504,0.329246935201
981,312,1504,1,1,1504,1.0
982,313,46,1,1,46,1.0
983,314,1188,1,1,1188,1.0
987,315,2658,4,1,1504,0.565838976674
988,316,1504,1,1,1504,1.0
990,317,1317,2,1,1261,0.95747911921
991,318,1504,1,1,1504,1.0
993,319,469,2,1,273,0.582089552239
994,320,1404,1,1,1404,1.0
995,321,1244,1,1,1244,1.0
996,322,1404,1,1,1404,1.0
997,323,50,1,1,50,1.0
998,324,1504,1,1,1504,1.0
1004,325,4015,6,1,1504,0.374595267746
1005,326,71,1,1,71,1.0
1006,327,1504,1,1,1504,1.0
1010,328,218,4,1,56,0.256880733945
1013,329,205,3,1,109,0.531707317073
